id,name,ingredient_type,core_ingredient_id,category,subcategory,is_core_raw,is_edible,review_status,usage_count,reason,edible,water,energy_kcal,energy_kj,protein,fat,cho,dietary_fiber,cholesterol,ash,vitamin_a,carotene,retinol,thiamin,riboflavin,niacin,vitamin_c,vitamin_e,ca,p,k,na,mg,fe,zn,se,cu,mn,nutrition_source,nutrition_match,quality,category_source,tcm_user,tcm_not_user,effects_json,suitable_groups_json,unsuitable_groups_json,aliases_json,parent_core_ids_json,child_core_ids_json
154,橙子,core_raw,154,水果,柑橘,1,1,verified,2,核心原生食材,74,87.4,48,202,0.8,0.2,11.1,0.6,0,0.5,13,160,0,0.05,0.04,0.30,33.0,0.56,20,22,159,1.2,14,0.4,0.14,0.31,0.03,0.05,橙,alias,core,v2_strict_rule,,,[],"[""产妇"",""儿童"",""婴儿"",""孕妇"",""幼儿"",""老人""]",[],"[""橙子""]",[],[]
155,牛排,core_raw,155,畜肉,牛,1,1,verified,9,核心原生食材,100,69.8,160,669,20.0,8.7,0.5,0.0,58,1.1,3,0,3,0.04,0.11,4.15,Tr,0.68,5,182,212,64.1,22,1.8,4.70,3.15,0.05,0.03,牛肉（代表值，fat9g）,alias,core,v2_strict_rule,,,[],"[""产妇"",""儿童"",""婴儿"",""老人""]",[],"[""牛排""]","[""8""]",[]
156,鲈鱼,core_raw,156,水产,鱼,1,1,verified,24,核心原生食材,58,76.5,105,442,18.6,3.4,0.0,0.0,86,1.5,19,0,19,0.03,0.17,3.10,Tr,0.75,138,242,205,144.1,37,2.0,2.83,33.06,0.05,0.04,鲈鱼［鲈花］,alias,core,v2_strict_rule,,,[],"[""产妇"",""孕妇"",""老人""]",[],"[""鲈鱼""]",[],[]
157,水果玉米,core_raw,157,谷物/坚果,玉米,1,1,verified,5,核心原生食材,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,v2_strict_rule,,,[],"[""产妇"",""儿童"",""孕妇""]",[],"[""水果玉米""]",[],[]
158,大白菜,core_raw,158,蔬菜,叶菜,1,1,verified,1,核心原生食材,89,94.4,20,82,1.6,0.2,3.4,0.9,0,0.7,7,80,0,0.05,0.04,0.65,37.5,0.36,57,33,134,68.9,12,0.8,0.46,0.57,0.06,0.19,大白菜（代表值）,exact,core,v2_strict_rule,,,[],"[""产妇"",""儿童"",""婴儿"",""孕妇"",""老人""]",[],"[""/大白菜""]",[],[]
159,红心火龙果,core_raw,159,水果,热带水果,1,1,verified,2,核心原生食材,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,v2_strict_rule,,,[],"[""产妇"",""儿童"",""婴儿"",""孕妇"",""老人""]",[],"[""红心火龙果""]",[],[]
160,西瓜,core_raw,160,水果,瓜果,1,1,verified,1,核心原生食材,59,92.3,31,108,0.5,0.3,6.8,0.2,0,0.2,14,173,0,0.02,0.04,0.30,5.7,0.11,7,12,97,3.3,14,0.4,0.09,0.09,0.03,0.03,西瓜（代表值）,alias,core,v2_strict_rule,一般人群均可食用。适宜高血压患者、急慢性肾炎患者、胆囊炎患者、高热不退者食用。,糖尿病患者少食，建议两餐中食用；脾胃虚寒，湿盛便糖者不宜食用。,[],"[""儿童"",""孕妇"",""老人""]","[""糖尿病患者"",""脾胃虚寒者"",""湿热痰湿体质者""]","[""西瓜""]",[],[]
161,扇贝,core_raw,161,水产,贝,1,1,verified,21,核心原生食材,35,84.2,60,255,11.1,0.6,2.6,0.0,140,1.5,Tr,—,Tr,Tr,0.10,0.20,Tr,11.85,142,132,122,339.0,39,7.2,11.69,20.22,0.48,0.70,扇贝（鲜）,alias,core,v2_strict_rule,,,[],"[""产妇"",""儿童"",""孕妇"",""老人""]",[],"[""几只扇贝丁"",""扇贝""]",[],[]
162,榛子,core_raw,162,谷物/坚果,坚果种子,1,1,verified,1,核心原生食材,,,,,,,,,,,,,,,,,,,,,,,,,,,,,榛子（熟）,excluded_processed_source,common,v2_strict_rule,,,[],"[""儿童""]",[],"[""榛子""]",[],[]
163,糙米,core_raw,163,谷物/坚果,稻米,1,1,verified,5,核心原生食材,100,13.4,348,1475,7.7,2.7,75,3.4,0,1.2,Tr,Tr,0,0.38,0.04,—,0,1.32,10,304,230,5.4,123,1.8,1.79,—,0.24,3.04,糙米,exact,core,v2_strict_rule,,,[],"[""产妇"",""婴儿"",""孕妇"",""老人""]",[],"[""糙米""]",[],[]
164,紫苏,core_raw,164,蔬菜,其他蔬菜,1,1,verified,21,核心原生食材,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,v2_strict_rule,,,[],"[""产妇"",""儿童"",""婴儿""]",[],"[""紫苏""]",[],[]
165,菜心,core_raw,165,蔬菜,叶菜,1,1,verified,23,核心原生食材,84,91.3,28,118,2.8,0.5,4.0,1.7,0,1.4,80,960,0,0.05,0.08,1.20,44.0,0.52,96,54,236,26.0,19,2.8,0.87,6.68,0.18,0.41,白菜薹［菜薹，菜心］,exact,core,v2_strict_rule,,,[],"[""产妇"",""儿童"",""婴儿"",""孕妇"",""老人""]",[],"[""菜心""]",[],[]
166,猕猴桃,core_raw,166,水果,核果,1,1,verified,3,核心原生食材,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,v2_strict_rule,,,[],"[""产妇"",""儿童"",""婴儿"",""孕妇"",""小孩""]",[],"[""猕猴桃""]",[],[]
167,黑鱼,core_raw,167,水产,鱼,1,1,verified,16,核心原生食材,57,78.7,85,359,18.5,1.2,0.0,0.0,91,1.6,26,0,26,0.02,0.14,2.50,Tr,0.97,152,232,313,48.8,33,0.7,0.80,24.57,0.05,0.06,乌鳢［黑鱼、乌鱼、生鱼］,exact,core,v2_strict_rule,,,[],"[""产妇"",""孕妇"",""小孩"",""幼儿"",""老人""]",[],"[""黑鱼"",""黑鱼片""]",[],[]
168,油麦菜,core_raw,168,蔬菜,叶菜,1,1,verified,48,核心原生食材,81,95.9,12,50,1.1,0.4,2.1,—,0,0.5,63,751,0,0.03,0.07,0.56,2.0,0.45,60,26,164,32.0,23,0.5,0.24,0.16,0.02,0.06,油麦菜,alias,core,v2_strict_rule,,,[],"[""产妇"",""儿童"",""婴儿"",""孕妇"",""老人""]",[],"[""油麦菜""]",[],[]
169,板栗,core_raw,169,谷物/坚果,坚果种子,1,1,verified,33,核心原生食材,80,52.0,188,789,4.2,0.7,42.2,1.7,0,0.9,16,190,0,0.14,0.17,0.80,24.0,4.56,17,89,442,13.9,50,1.1,0.57,1.13,0.40,1.53,栗子（鲜）［板栗］,exact,core,v2_strict_rule,,,[],"[""产妇"",""儿童"",""婴儿"",""孕妇"",""老人""]",[],"[""多个板栗"",""板栗""]",[],[]
170,椰子,core_raw,170,水果,热带水果,1,1,verified,4,核心原生食材,33,51.8,241,1007,4.0,12.1,31.3,4.7,0,0.8,—,—,0,0.01,0.01,0.50,6.0,—,2,90,475,55.6,65,1.8,0.92,—,0.19,0.06,椰子,exact,core,v2_strict_rule,一般人群均可食用。,凡大便清泄者忌食椰肉；体内热盛的人不宜常吃椰子；同时病毒性肝炎、脂肪肝、支气管哮喘、高血压、脑血管、胰腺炎、糖尿病等患者也应忌食。,"[""清热降火"",""调养肤质""]","[""产妇"",""儿童"",""老人""]","[""糖尿病患者"",""阴虚火旺者"",""肝病患者"",""高血压患者"",""哮喘或支气管疾病患者""]","[""椰子"",""椰子片""]",[],[]
171,猪肝,core_raw,171,畜肉,猪,1,1,verified,45,核心原生食材,100,72.6,126,531,19.2,4.7,1.8,0.0,180,1.7,6502,0,6502,0.22,2.02,10.11,20.0,Tr,6,243,235,68.6,24,23.2,3.68,26.12,0.02,0.01,猪肝,exact,core,v2_strict_rule,,,"[""保护眼睛"",""健胃"",""养肝"",""养血"",""明目"",""益目"",""补肝"",""补血""]","[""产妇"",""儿童"",""婴儿"",""孕妇"",""老人"",""长期在荧光屏前工作的人""]",[],"[""猪肝"",""鲜猪肝""]",[],[]
172,猪颈肉,core_raw,172,畜肉,猪,1,1,verified,3,核心原生食材,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,v2_strict_rule,,,[],"[""产妇"",""孕妇""]",[],"[""猪颈肉""]","[""4""]",[]
173,贝贝南瓜,core_raw,173,水产,贝,1,1,verified,7,核心原生食材,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,v2_strict_rule,,,[],"[""产妇"",""儿童"",""婴儿"",""孕妇"",""老人""]",[],"[""贝贝南瓜""]",[],[]
174,荔浦芋头,core_raw,174,薯芋,芋类,1,1,verified,10,核心原生食材,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,v2_strict_rule,,,[],"[""婴儿""]",[],"[""荔浦芋头""]",[],[]
175,开心果,core_raw,175,谷物/坚果,坚果种子,1,1,verified,1,核心原生食材,,,,,,,,,,,,,,,,,,,,,,,,,,,,,开心果（熟）,excluded_processed_source,common,v2_strict_rule,,,[],"[""儿童"",""婴儿""]",[],"[""开心果""]",[],[]
176,芝麻菜,core_raw,176,谷物/坚果,坚果种子,1,1,verified,1,核心原生食材,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,v2_strict_rule,,,[],[],[],"[""芝麻菜""]",[],[]
177,无花果,core_raw,177,水果,其他水果,1,1,verified,7,核心原生食材,100,81.3,65,272,1.5,0.1,16.0,3.0,0,1.1,3,30,0,0.03,0.02,0.10,2.0,1.82,67,18,212,5.5,17,0.1,1.42,0.67,0.01,0.17,无花果,exact,core,v2_strict_rule,,,[],"[""产妇"",""儿童"",""孕妇""]",[],"[""无花果""]",[],[]
178,巴沙鱼,core_raw,178,水产,鱼,1,1,verified,26,核心原生食材,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,v2_strict_rule,,,[],"[""产妇"",""婴儿"",""孕妇"",""老人""]",[],"[""/巴沙鱼"",""巴沙鱼"",""巴沙鱼块"",""巴沙鱼片""]",[],[]
179,小辣椒,core_raw,179,蔬菜,瓜果,1,1,verified,1,核心原生食材,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,v2_strict_rule,,,[],[],[],"[""－小辣椒""]",[],[]
180,白菜叶,core_raw,180,蔬菜,叶菜,1,1,verified,13,核心原生食材,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,v2_strict_rule,,,[],"[""产妇"",""儿童"",""婴儿"",""孕妇"",""老人""]",[],"[""数片白菜叶"",""白菜叶""]",[],[]
181,红尖椒,core_raw,181,蔬菜,瓜果,1,1,verified,37,核心原生食材,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,v2_strict_rule,,,[],"[""中年人"",""产妇"",""孕妇"",""小孩子"",""年轻人"",""老人"",""老年人""]",[],"[""/红尖椒"",""几个红尖椒"",""红尖椒"",""红尖椒丝"",""红尖椒碎"",""鲜红尖椒""]",[],[]
182,龙虾,core_raw,182,水产,虾,1,1,verified,28,核心原生食材,46,77.6,90,379,18.9,1.1,1.0,0.0,121,1.4,Tr,—,Tr,—,0.03,4.30,Tr,3.58,21,221,257,190.0,22,1.3,2.79,39.36,0.54,Tr,龙虾,exact,core,v2_strict_rule,,,[],[],[],"[""龙虾""]",[],[]
183,铁棍山药,core_raw,183,薯芋,薯类,1,1,verified,10,核心原生食材,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,v2_strict_rule,,,"[""增进食欲"",""开胃助食""]","[""产妇"",""儿童"",""婴儿"",""孕妇"",""小孩"",""老人""]",[],"[""/铁棍山药"",""铁棍山药""]",[],[]
184,冬笋,core_raw,184,蔬菜,根茎,1,1,verified,42,核心原生食材,39,88.1,42,174,4.1,0.1,6.5,0.8,0,1.2,7,80,0,0.08,0.08,0.60,1.0,—,22,56,—,—,—,0.1,—,—,—,—,冬笋（鲜）,exact,core,v2_strict_rule,,,"[""利于人体消化吸收"",""增强体质""]","[""产妇"",""婴儿"",""孕妇"",""老人""]",[],"[""/冬笋"",""冬笋"",""冬笋丝"",""净冬笋""]",[],[]
185,小青菜,core_raw,185,蔬菜,叶菜,1,1,verified,1,核心原生食材,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,v2_strict_rule,,,[],"[""产妇"",""婴儿"",""孕妇"",""小孩"",""老人""]",[],"[""少量小青菜""]",[],[]
186,芸豆,core_raw,186,蔬菜,鲜豆,1,1,verified,18,核心原生食材,96,91.2,24,101,2.0,0.2,6.0,—,0,0.6,8,96,0,0.02,0.05,0.26,Tr,Tr,43,47,196,4.4,27,0.6,0.33,0.04,0.05,0.26,四季豆［菜豆、芸豆］,exact,core,v2_strict_rule,,,[],"[""产妇"",""儿童"",""孕妇"",""老人"",""青少年""]",[],"[""一小捆芸豆"",""芸豆""]",[],[]
187,凤梨,core_raw,187,水果,仁果,1,1,verified,2,核心原生食材,68,88.4,44,182,0.5,0.1,10.8,1.3,0,0.2,2,20,0,0.04,0.02,0.20,18.0,—,12,9,113,0.8,8,0.6,0.14,0.24,0.07,1.04,菠萝［凤梨，地菠萝］,exact,core,v2_strict_rule,,,[],[],[],"[""凤梨""]",[],[]
188,黄桃,core_raw,188,水果,核果,1,1,verified,1,核心原生食材,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,v2_strict_rule,,,[],"[""产妇"",""儿童"",""老人""]",[],"[""黄桃""]",[],[]
189,海参,core_raw,189,水产,其他水产,1,1,verified,23,核心原生食材,100,77.1,78,330,16.5,0.2,2.5,0.0,51,3.7,Tr,—,Tr,0.03,0.04,0.10,Tr,3.14,285,28,43,502.9,149,13.2,0.63,63.93,0.05,0.76,海参,exact,core,v2_strict_rule,一般人群都能食用，精力不足，气血不足及肝硬化腹水和神经衰弱者尤宜食用。适宜虚劳赢弱，气血不足，营养不良，病后产后体虚之人食用；适宜肾阳不足，阳痿遗精，小便频数之人食用；适宜高血压病，高脂血症，冠心病，动脉硬化之人食用；适宜癌症病人及放疗、化疗、手术后食用；适宜肝炎，肾炎，糖尿病患者食用；适宜血友病患者及易于出血之人食用；适宜年老体弱者食用；,患急性肠炎、菌痢、感冒、咳痰、气喘及大便溏薄、出血兼有瘀滞及湿邪阻滞的患者忌食。,"[""明目益气"",""滋润补血"",""补肾壮阳""]","[""产妇"",""儿童"",""婴儿"",""孕妇"",""老人""]","[""腹泻便溏者"",""感冒发热者"",""胃肠炎患者"",""咳嗽患者"",""湿热痰湿体质者"",""哮喘或支气管疾病患者""]","[""海参""]",[],[]
190,松子,core_raw,190,谷物/坚果,坚果种子,1,1,verified,3,核心原生食材,32,3.0,665,2782,12.6,62.6,19.0,12.4,0,2.8,3,40,0,0.41,0.09,3.80,—,34.48,3,620,184,—,567,5.9,9.02,0.63,2.68,10.35,松子（生）,exact,core,v2_strict_rule,,,"[""对美容"",""抗老化"",""抗老化等都有助益""]","[""一般人群均可食用"",""产妇"",""儿童"",""孕妇"",""老人"",""青少年""]",[],"[""松子""]",[],[]
191,羽衣甘蓝,core_raw,191,蔬菜,其他蔬菜,1,1,verified,1,核心原生食材,100,87.2,69,289,5.0,0.4,5.7,3.2,0,1.7,364,4368,0,0.07,0.18,1.09,63.0,1.12,66,82,395,66.8,53,1.6,0.56,—,0.06,0.40,羽衣甘蓝,exact,core,v2_strict_rule,,,[],[],[],"[""羽衣甘蓝""]",[],[]
192,干海带,core_raw,192,水产,其他水产,1,1,verified,1,核心原生食材,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,v2_strict_rule,,,[],[],[],"[""干海带丝""]",[],[]
193,指天椒,core_raw,193,蔬菜,瓜果,1,1,verified,18,核心原生食材,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,v2_strict_rule,,,[],"[""产妇"",""儿童"",""孕妇"",""老人""]",[],"[""指天椒""]",[],[]
194,甜椒,core_raw,194,蔬菜,瓜果,1,1,verified,11,核心原生食材,82,94.6,18,77,1.0,0.2,3.8,—,0,0.4,6,76,0,0.02,0.02,0.39,130.0,0.41,—,—,—,—,—,—,—,0.38,—,—,甜椒［灯笼椒、柿子椒］,alias,core,v2_strict_rule,,,[],"[""产妇"",""儿童"",""婴儿"",""孕妇"",""青少年""]",[],"[""甜椒""]",[],[]
195,木瓜,core_raw,195,水果,热带水果,1,1,verified,5,核心原生食材,86,92.2,29,121,0.4,0.1,7.0,0.8,0,0.3,73,870,0,0.01,0.02,0.30,43.0,0.30,17,12,18,28.0,9,0.2,0.25,1.80,0.03,0.05,木瓜［番木瓜］,exact,core,v2_strict_rule,,,[],"[""产妇"",""儿童"",""哺乳期"",""婴儿"",""孕妇"",""小孩"",""老人""]",[],"[""木瓜""]",[],[]
196,榴莲,core_raw,196,水果,热带水果,1,1,verified,2,核心原生食材,37,64.5,150,632,2.6,3.3,28.3,1.7,0,1.3,2,20,0,0.20,0.13,1.19,2.8,2.28,4,38,261,2.9,27,0.3,0.16,3.26,0.12,0.22,榴莲,exact,core,v2_strict_rule,,,[],"[""产妇"",""儿童"",""孕妇"",""老人""]",[],"[""榴莲"",""榴莲肉""]",[],[]
197,牛腱子,core_raw,197,畜肉,牛,1,1,verified,9,核心原生食材,100,73.4,122,513,23.0,3.3,0.0,0.0,61,1.0,Tr,0,Tr,0.03,0.13,3.69,Tr,Tr,5,181,182,83.1,22,0.3,5.07,2.54,0.01,Tr,牛肉（小腿肉）［牛展、牛腱子］,exact,core,v2_strict_rule,,,[],"[""产妇"",""儿童"",""孕妇"",""老人""]",[],"[""牛腱"",""牛腱子""]","[""8""]",[]
198,鲍鱼,core_raw,198,水产,贝,1,1,verified,33,核心原生食材,65,77.5,84,356,12.6,0.8,6.6,0.0,242,2.5,24,—,24,0.01,0.16,0.20,Tr,2.20,266,77,136,2011.7,59,22.6,1.75,21.38,0.72,0.40,鲍鱼［杂色鲍］,exact,core,v2_strict_rule,一般人均可食用夜尿频、气虚哮喘、血压不稳、精神难以集中者适宜多吃鲍鱼；糖尿病患者也可用鲍鱼作辅助治疗，但必须配药同炖，才有疗效。,痛风患者及尿酸高者不宜吃鲍肉，只宜少量喝汤；虽然鲍鱼人人爱吃，但感冒发烧或阴虚喉痛的人不宜食用；素有顽癣痼疾之人忌食。,[],"[""产妇"",""孕妇"",""青少年""]","[""阴虚火旺者"",""感冒发热者"",""皮肤病患者"",""痛风或高尿酸人群""]","[""数只鲍鱼"",""鲍鱼"",""鲜鲍鱼""]",[],[]
199,白蘑菇,core_raw,199,菌菇藻类,菌菇,1,1,verified,10,核心原生食材,100,91.4,29,123,3.5,0.4,3.8,—,0,0.9,—,—,0,0.02,0.30,3.50,0.1,—,6,93,350,57.0,11,1.0,0.60,—,—,—,白蘑菇［双孢蘑菇、洋蘑菇］,exact,core,v2_strict_rule,,,[],"[""产妇"",""小孩""]",[],"[""白蘑菇""]",[],[]
200,南瓜籽,core_raw,200,蔬菜,瓜果,1,1,verified,1,核心原生食材,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,v2_strict_rule,,,[],[],[],"[""南瓜籽""]",[],[]
201,线椒,core_raw,201,蔬菜,瓜果,1,1,verified,36,核心原生食材,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,v2_strict_rule,,,[],"[""产妇"",""青少年""]",[],"[""线椒""]",[],[]
202,雪梨,core_raw,202,水果,仁果,1,1,verified,3,核心原生食材,93,78.3,79,332,0.9,0.1,20.2,3.0,0,0.5,Tr,Tr,0,0.03,—,0.10,1.0,0.24,12,11,45,1.4,13,0.8,0.25,0.04,0.12,0.08,雪梨,exact,core,v2_strict_rule,,,"[""化痰止咳"",""清热生津""]","[""产妇"",""儿童"",""婴儿"",""孕妇"",""小孩"",""老人""]",[],"[""/雪梨"",""雪梨""]",[],[]
203,梅花肉,core_raw,203,畜肉,其他畜肉,1,1,verified,16,核心原生食材,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,v2_strict_rule,,,[],"[""儿童"",""孕妇"",""小孩"",""老人""]",[],"[""梅花肉""]","[""4""]",[]
204,猪蹄,core_raw,204,畜肉,猪,1,1,verified,29,核心原生食材,60,58.2,260,1080,22.6,18.8,0.0,0.0,192,0.4,3,0,3,0.05,0.10,1.50,Tr,0.01,33,33,54,101.0,5,1.1,1.14,5.85,0.09,0.01,猪蹄,alias,core,v2_strict_rule,"一般人都可以吃，更是老人、妇女、失血者的食疗佳品。
适宜血虚者食用；适宜年老体弱者食用；适宜产后缺奶者食用；适宜腰脚软弱无力者食用；适宜痈疽疮毒久溃不敛者食用。",有胃肠消化功能减弱的老年人每次不可食之过多；患有肝炎、胆囊炎、胆结石、动脉硬化、高血压病的患者食应以少食或不食为好；凡外感发热和一切热证、实证期间不宜多食；胃肠消化功能减弱的儿童一次不能过量食用。,"[""健脾"",""导滞"",""延缓衰老和促进儿童生长"",""降逆止呕""]","[""产妇"",""儿童"",""哺乳期"",""婴儿"",""孕妇"",""幼儿"",""老人""]","[""阴虚火旺者"",""肝病患者"",""胆囊疾病患者"",""感冒发热者"",""高血压患者"",""动脉硬化患者"",""消化功能不良者""]","[""猪蹄""]","[""4""]",[]
205,大闸蟹,core_raw,205,水产,蟹,1,1,verified,6,核心原生食材,36,69.3,156,652,21.0,7.7,0.6,0.0,62,1.4,—,—,—,—,—,—,Tr,6.05,15,231,224,187.8,4,3.2,3.43,0.12,—,2.07,大闸蟹（母）,exact,core,v2_strict_rule,,,[],"[""儿童"",""孕妇""]",[],"[""闸蟹""]","[""292""]",[]
206,章鱼,core_raw,206,水产,鱼,1,1,verified,2,核心原生食材,78,65.4,135,574,18.9,0.4,14.0,0.0,—,1.3,Tr,—,Tr,0.04,0.06,5.40,Tr,1.34,21,63,447,65.4,50,0.6,0.68,27.30,0.24,—,章鱼［八爪鱼］,exact,core,v2_strict_rule,,,[],[],[],"[""章鱼""]",[],[]
207,皂角米,core_raw,207,谷物/坚果,杂粮,1,1,verified,2,核心原生食材,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,v2_strict_rule,,,[],"[""产妇"",""儿童"",""婴儿"",""孕妇""]",[],"[""皂角米""]",[],[]
208,菜花,core_raw,208,蔬菜,叶菜,1,1,verified,26,核心原生食材,82,93.2,20,83,1.7,0.2,4.2,2.1,0,0.7,1,11,0,0.04,0.04,0.32,32.0,Tr,31,32,206,39.2,18,0.4,0.17,2.86,0.02,0.09,菜花（白色）［花椰菜］,exact,core,v2_strict_rule,,,"[""益气健胃"",""补虚强身""]","[""产妇"",""儿童"",""婴儿"",""孕妇"",""老人""]",[],"[""椰菜"",""花椰菜"",""菜花""]",[],[]
209,鸡毛菜,core_raw,209,蔬菜,叶菜,1,1,verified,6,核心原生食材,100,93.5,19,79,2.7,0.2,2.6,—,0,1.0,69,826,0,0.04,0.09,0.61,24.0,0.30,78,25,230,62.7,35,2.1,0.31,0.24,0.03,0.26,鸡毛菜,exact,core,v2_strict_rule,,,[],"[""产妇""]",[],"[""鸡毛菜""]",[],[]
210,杨梅,core_raw,210,水果,核果,1,1,verified,1,核心原生食材,82,92.0,30,125,0.8,0.2,6.7,1.0,0,0.3,3,40,0,0.01,0.05,0.30,9.0,0.81,14,8,149,0.7,10,1.0,0.14,0.31,0.02,0.72,杨梅［树梅，山杨梅］,exact,core,v2_strict_rule,一般人群均能食用。,溃疡病患者慎食，牙疼、胃酸过多、上火的人不要多吃，糖尿病患者忌食。,[],"[""产妇"",""孕妇""]","[""糖尿病患者"",""胃溃疡患者"",""胃酸过多人群"",""口腔疾病患者""]","[""杨梅""]",[],[]
211,西柚,core_raw,211,水果,柑橘,1,1,verified,1,核心原生食材,73,90.9,33,138,0.7,0.3,7.8,—,0,0.3,24,282,0,0.05,0.01,0.20,38.0,—,21,17,60,7.0,9,0.1,0.10,—,—,—,葡萄柚［西柚］,exact,core,v2_strict_rule,,,[],"[""儿童""]",[],"[""西柚""]",[],[]
212,童子鸡,core_raw,212,禽肉,鸡,1,1,verified,9,核心原生食材,,,,,,,,,,,,,,,,,,,,,,,,,,,,,童子鸡（熟）,excluded_processed_source,common,v2_strict_rule,,,"[""安心神"",""补气血""]","[""产妇"",""儿童"",""孕妇"",""老人""]",[],"[""整只童子鸡"",""童子鸡""]","[""24""]",[]
213,橄榄,core_raw,213,水果,其他水果,1,1,verified,1,核心原生食材,80,83.1,57,240,0.8,0.2,15.1,4.0,0,0.8,11,130,0,0.01,0.01,0.70,3.0,—,49,18,23,Tr,10,0.2,0.25,0.35,Tr,0.48,橄榄（白榄）,exact,core,v2_strict_rule,一般人群均可食用。,一般人群均可食用。,[],[],[],"[""橄榄""]",[],[]
214,橘子,core_raw,214,水果,柑橘,1,1,verified,1,核心原生食材,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,v2_strict_rule,一般人群均可食用。,风寒咳嗽、痰饮咳嗽者不宜食用。,[],"[""儿童"",""老人""]","[""咳嗽患者""]","[""橘子""]",[],[]
215,瘦猪肉,core_raw,215,畜肉,猪,1,1,verified,3,核心原生食材,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,v2_strict_rule,,,"[""健脾"",""利湿"",""开胃"",""强身抗衰"",""清润益气"",""清热解毒"",""补肾益肺""]","[""儿童"",""婴儿"",""老人""]",[],"[""瘦猪肉""]","[""4""]",[]
216,老母鸡,core_raw,216,禽肉,鸡,1,1,verified,9,核心原生食材,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,v2_strict_rule,,,[],"[""产妇"",""哺乳期"",""孕妇"",""老人""]",[],"[""母鸡"",""老母鸡""]","[""24""]",[]
217,松茸,core_raw,217,菌菇藻类,菌菇,1,1,verified,6,核心原生食材,100,16.1,207,853,20.3,3.2,48.2,47.8,0,12.2,—,—,0,0.01,1.48,—,—,3.09,14,50,93,4.3,—,86.0,6.22,98.44,10.30,1.63,松蘑（干）［松口蘑，松茸］,exact,core,v2_strict_rule,,,"[""滋养强壮"",""补气健脾""]","[""产妇"",""儿童"",""孕妇"",""青少年""]",[],"[""松茸"",""松茸片""]",[],[]
218,裙带菜,core_raw,218,菌菇藻类,藻类,1,1,verified,7,核心原生食材,100,9.2,219,914,25.0,1.7,41.5,31.1,0,22.6,186,2230,0,0.02,0.07,Tr,—,Tr,947,305,335,4411.6,1022,16.4,2.62,15.88,0.12,0.95,裙带菜（干）［海芥菜，海木耳］,exact,core,v2_strict_rule,,,[],"[""婴儿""]",[],"[""裙带菜""]",[],[]
219,紫米,core_raw,219,谷物/坚果,稻米,1,1,verified,2,核心原生食材,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,v2_strict_rule,,,[],"[""产妇"",""儿童"",""婴儿"",""孕妇"",""老人""]",[],"[""紫米""]",[],[]
220,春笋,core_raw,220,蔬菜,根茎,1,1,verified,34,核心原生食材,66,91.4,25,106,2.4,0.1,5.1,2.8,0,1.0,3,30,0,0.05,0.04,0.40,5.0,—,8,36,300,6.0,8,2.4,0.43,0.66,0.15,0.78,春笋（鲜）,exact,core,v2_strict_rule,,,[],"[""产妇"",""孕妇"",""老人""]",[],"[""几根春笋"",""春笋""]",[],[]
221,蒜苔,core_raw,221,蔬菜,葱蒜,1,1,verified,64,核心原生食材,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,v2_strict_rule,一般人群均可食用,1.消化能不佳的人宜少吃；2.过量食用会影响视力；有肝病的人过量食用，可造成肝功能障碍。,[],"[""产妇"",""儿童"",""婴儿"",""孕妇"",""老人""]","[""消化功能不良者""]","[""蒜苔""]",[],[]
222,韭黄,core_raw,222,蔬菜,葱蒜,1,1,verified,28,核心原生食材,88,93.2,24,101,2.3,0.2,3.9,1.2,0,0.4,22,260,0,0.03,0.05,0.70,15.0,0.34,25,48,192,6.9,12,1.7,0.33,0.76,0.10,0.17,韭黄（韭芽，黄色）,exact,core,v2_strict_rule,一般人群均能食用。,一般人群均能食用。,[],"[""产妇"",""儿童"",""妇女"",""老人"",""老幼"",""脾胃虚弱者尤为合适""]",[],"[""韭黄""]",[],[]
